job_skill_norm,count,parent_skill
python,122,
sql,70,
aws,54,
ci/cd,51,
docker,42,
kubernetes,37,
azure,37,
java,37,
javascript,32,
git,31,
etl,30,
power bi,28,
react,27,
terraform,26,
machine learning,24,
pytorch,22,
typescript,22,
databricks,21,
data modeling,21,
go,21,
bash,21,
gcp,21,
jenkins,20,
tensorflow,19,
linux,19,
kafka,17,
iac,16,
airflow,15,
github,15,
r,15,
tableau,15,
prometheus,15,
nosql,14,
containerization,14,
gitlab,14,
node.js,13,
grafana,13,
hadoop,13,
reporting,13,
github actions,12,
pyspark,12,
spark,12,
ansible,12,
postgresql,11,
google cloud platform,11,
rag,11,
mlops,11,
scala,11,
data visualization,11,
numpy,10,
devops,10,
excel,10,
snowflake,10,
statistics,10,
s3,10,
azure data factory,10,
pandas,9,
rest api,9,
c++,9,
c#,9,
datadog,9,
sql server,9,
redshift,9,
powershell,9,
redis,8,
llm,8,
deep learning,8,
microservices,8,
dbt,8,
elt,8,
lambda,8,
css,8,
infrastructure as code,8,
fastapi,7,
langchain,7,
next.js,7,
scikit-learn,7,
nlp,7,
apis,7,
react native,7,
azure devops,7,
analytics,7,
mongodb,7,
angular,7,
data warehousing,7,
gitlab ci,7,
networking,7,
iam,7,
data pipeline,7,
data integration,7,
data quality,7,
business intelligence,7,
matplotlib,6,
jira,6,
continuous integration,6,
version control,6,
html,6,
data analysis,6,
reinforcement learning,5,
data pipelines,5,
computer vision,5,
seaborn,5,
generative ai,5,
bigquery,5,
mysql,5,
graphql,5,
azure synapse,5,
google cloud,5,
cloudformation,5,
restful apis,5,
html5,5,
unit testing,5,
big data,5,
flink,5,
microsoft azure,5,
flask,4,
mlflow,4,
django,4,
serverless,4,
transformers,4,
vector databases,4,
rds,4,
argocd,4,
gitops,4,
elk stack,4,
data lake,4,
spring boot,4,
css3,4,
php,4,
redux,4,
dynamodb,4,
c,4,
data governance,4,
metrics,4,
monitoring,4,
distributed systems,4,
kubeflow,3,
feature engineering,3,
neural networks,3,
keras,3,
hugging face,3,
statistical modeling,3,
langgraph,3,
prompt engineering,3,
amazon web services,3,
ec2,3,
ecs,3,
helm,3,
loki,3,
ci/cd pipelines,3,
looker,3,
ssis,3,
hive,3,
hbase,3,
microsoft fabric,3,
agile,3,
apache spark,3,
spark sql,3,
sre,3,
container orchestration,3,
cloud run,3,
cloudwatch,3,
websocket,3,
selenium,3,
ios,3,
android,3,
design patterns,3,
golang,3,
azure storage,3,
scripting,3,
swift,3,
openai,2,
prefect,2,
model serving,2,
large language models,2,
natural language processing,2,
transformer,2,
data processing,2,
onnx,2,
cloud deployment,2,
llms,2,
embeddings,2,
tensorrt,2,
plotly,2,
thanos,2,
google data studio,2,
hdfs,2,
data factory,2,
delta lake,2,
confluence,2,
servicenow,2,
qa,2,
cloud storage,2,
load balancing,2,
salesforce,2,
bitbucket,2,
circleci,2,
encryption,2,
soc 2,2,
cassandra,2,
